OrderID,Date,CustomerID,ProductID,StoreID,Qty,Discount%,Tax%,Total,Profit
O00036,2023-03-05,C0206,P001,S02,1,0,15,149.5,70
O00037,2024-03-08,C0272,P002,S04,4,15,15,782,404
O00038,2021-11-29,C0081,P003,S03,3,20,15,690,375
O00039,2023-05-06,C0044,P001,S02,2,20,15,239.2,124.4
O00040,2020-04-11,C0042,P003,S04,4,15,15,977.5,515
O00041,2023-05-28,C0227,P004,S03,2,20,15,588.8,301.6
O00042,2020-08-21,C0177,P004,S01,3,20,15,883.2,452.4
O00043,2022-09-23,C0270,P006,S03,1,5,15,284.05,136.1
O00044,2022-03-20,C0029,P001,S02,3,5,15,426.07,204.15
O00045,2024-04-20,C0071,P003,S03,3,0,15,862.5,420
O00046,2020-01-16,C0255,P006,S04,2,5,15,568.1,272.2
O00047,2022-02-17,C0273,P006,S02,3,0,15,897,420
O00048,2022-03-24,C0022,P004,S01,4,0,15,1472,680
O00049,2024-10-31,C0161,P005,S04,4,15,15,430.1,220.2
O00050,2021-08-15,C0059,P004,S01,3,5,15,1048.8,495.6
O00051,2024-06-29,C0236,P006,S03,1,15,15,254.15,128.3
O00052,2024-09-25,C0055,P002,S04,4,20,15,736,392
O00053,2020-06-10,C0203,P003,S03,2,10,15,517.5,265
O00054,2024-05-14,C0087,P001,S05,1,20,15,119.6,62.2
O00055,2022-11-10,C0100,P003,S03,2,5,15,546.25,272.5
O00056,2020-07-29,C0075,P003,S02,2,20,15,460,250
O00057,2020-11-09,C0039,P002,S04,4,20,15,736,392
O00058,2024-04-05,C0297,P004,S05,3,10,15,993.6,481.2
O00059,2020-11-05,C0226,P001,S04,4,10,15,538.2,264.4
O00060,2024-06-18,C0141,P005,S01,3,20,15,303.6,160.2
O00061,2020-05-31,C0159,P004,S04,1,0,15,368,170
O00062,2022-01-25,C0147,P001,S01,4,15,15,508.3,256.6
O00063,2023-04-03,C0284,P006,S01,4,20,15,956.8,497.6
O00064,2023-08-27,C0097,P003,S05,4,20,15,920,500
O00065,2020-11-04,C0032,P004,S01,3,0,15,1104,510
O00066,2022-10-30,C0089,P001,S02,4,15,15,508.3,256.6
O00067,2022-12-09,C0268,P005,S02,3,10,15,341.55,170.1
O00068,2025-02-22,C0145,P004,S04,3,20,15,883.2,452.4
O00069,2020-04-17,C0172,P001,S03,1,20,15,119.6,62.2
O00070,2023-10-21,C0198,P003,S03,2,10,15,517.5,265
O00071,2020-06-15,C0299,P006,S02,3,10,15,807.3,396.6
O00072,2025-06-04,C0201,P002,S05,1,10,15,207,104
O00073,2023-02-18,C0193,P006,S03,2,20,15,478.4,248.8
O00074,2020-07-10,C0217,P005,S03,1,10,15,113.85,56.7
O00075,2021-09-24,C0093,P002,S03,4,5,15,874,428
O00076,2021-04-08,C0071,P002,S01,3,0,15,690,330
O00077,2022-11-05,C0277,P006,S05,1,10,15,269.1,132.2
O00078,2024-11-29,C0068,P005,S04,2,5,15,240.35,116.7
O00079,2021-01-05,C0085,P006,S04,1,15,15,254.15,128.3
O00080,2022-01-16,C0122,P004,S05,3,15,15,938.4,466.8
O00081,2021-04-24,C0274,P002,S03,4,5,15,874,428
O00082,2022-01-23,C0293,P004,S04,3,15,15,938.4,466.8
O00083,2022-10-26,C0271,P004,S02,2,20,15,588.8,301.6
O00084,2020-10-10,C0129,P001,S04,3,20,15,358.8,186.6
O00085,2025-03-28,C0053,P006,S05,1,10,15,269.1,132.2
O00086,2020-06-20,C0083,P003,S04,2,15,15,488.75,257.5
O00087,2020-07-06,C0114,P004,S03,1,15,15,312.8,155.6
O00088,2020-04-19,C0203,P005,S03,2,15,15,215.05,110.1
O00089,2020-06-16,C0192,P002,S01,3,0,15,690,330
O00090,2024-09-14,C0172,P002,S02,1,10,15,207,104
O00091,2025-02-21,C0242,P006,S02,4,15,15,1016.6,513.2
O00092,2023-06-14,C0003,P001,S01,3,5,15,426.07,204.15
O00093,2024-09-06,C0077,P005,S05,4,0,15,506,240
O00094,2024-05-08,C0148,P002,S03,1,0,15,230,110
O00095,2021-05-03,C0215,P006,S05,4,0,15,1196,560
O00096,2020-08-15,C0256,P005,S05,1,20,15,101.2,53.4
O00097,2023-03-23,C0124,P006,S02,3,15,15,762.45,384.9
O00098,2020-01-04,C0181,P002,S05,4,5,15,874,428
O00099,2023-09-22,C0044,P005,S03,1,20,15,101.2,53.4
O00100,2023-01-19,C0260,P005,S05,1,15,15,107.53,55.05
O00101,2024-11-23,C0241,P001,S04,3,10,15,403.65,198.3
O00102,2024-03-10,C0009,P003,S01,3,5,15,819.38,408.75
O00103,2024-02-10,C0054,P005,S03,2,0,15,253,120
O00104,2021-12-22,C0280,P003,S02,4,15,15,977.5,515
O00105,2023-07-17,C0094,P002,S01,4,0,15,920,440
O00106,2021-08-23,C0104,P001,S02,1,10,15,134.55,66.1
O00107,2025-03-26,C0159,P005,S04,4,10,15,455.4,226.8
O00108,2020-03-15,C0098,P003,S03,1,10,15,258.75,132.5
O00109,2021-07-13,C0064,P003,S04,4,15,15,977.5,515
O00110,2025-01-06,C0198,P003,S02,4,15,15,977.5,515
O00111,2022-01-22,C0266,P003,S01,4,0,15,1150,560
O00112,2022-05-31,C0093,P005,S03,3,0,15,379.5,180
O00113,2020-06-12,C0168,P006,S03,3,15,15,762.45,384.9
O00114,2023-05-19,C0219,P002,S04,3,15,15,586.5,303
O00115,2020-03-27,C0181,P005,S04,3,0,15,379.5,180
O00116,2020-06-02,C0208,P003,S05,2,0,15,575,280
O00117,2020-10-19,C0225,P001,S02,1,5,15,142.03,68.05
O00118,2024-05-13,C0188,P003,S04,1,20,15,230,125
O00119,2020-11-10,C0231,P003,S03,4,0,15,1150,560
O00120,2023-03-21,C0071,P005,S03,4,10,15,455.4,226.8
O00121,2023-08-23,C0143,P002,S01,1,5,15,218.5,107
O00122,2022-10-19,C0266,P004,S05,1,10,15,331.2,160.4
O00123,2024-05-06,C0134,P006,S04,2,20,15,478.4,248.8
O00124,2021-08-07,C0252,P002,S01,2,0,15,460,220
O00125,2022-07-14,C0089,P006,S04,1,10,15,269.1,132.2
O00126,2023-09-29,C0178,P006,S01,3,10,15,807.3,396.6
O00127,2024-10-09,C0081,P006,S02,3,20,15,717.6,373.2
O00128,2021-04-04,C0063,P002,S02,2,15,15,391,202
O00129,2020-02-23,C0185,P005,S05,3,15,15,322.57,165.15
O00130,2024-07-03,C0283,P002,S05,1,0,15,230,110
O00131,2021-09-25,C0204,P006,S04,4,15,15,1016.6,513.2
O00132,2024-08-13,C0295,P001,S02,3,0,15,448.5,210
O00133,2022-07-10,C0239,P006,S05,3,5,15,852.15,408.3
O00134,2024-12-03,C0283,P006,S05,2,5,15,568.1,272.2
O00135,2022-06-05,C0258,P001,S01,2,10,15,269.1,132.2
O00136,2020-12-03,C0083,P003,S02,3,20,15,690,375
O00137,2025-01-06,C0146,P001,S03,2,20,15,239.2,124.4
O00138,2021-07-16,C0065,P006,S03,1,20,15,239.2,124.4
O00139,2023-08-05,C0087,P005,S05,2,5,15,240.35,116.7
O00140,2023-09-11,C0173,P005,S01,1,0,15,126.5,60
O00141,2020-04-03,C0296,P003,S02,4,20,15,920,500
O00142,2023-08-01,C0016,P004,S05,3,10,15,993.6,481.2
O00143,2022-09-16,C0126,P006,S04,3,15,15,762.45,384.9
O00144,2020-05-29,C0031,P002,S04,4,15,15,782,404
O00145,2022-08-09,C0105,P003,S05,2,10,15,517.5,265
O00146,2024-10-30,C0164,P006,S03,4,5,15,1136.2,544.4
O00147,2024-04-06,C0190,P005,S05,1,10,15,113.85,56.7
O00148,2021-05-10,C0239,P001,S03,4,5,15,568.1,272.2
O00149,2020-10-15,C0050,P001,S03,4,20,15,478.4,248.8
O00150,2022-05-06,C0128,P002,S03,3,5,15,655.5,321
O00151,2024-04-11,C0082,P004,S05,4,15,15,1251.2,622.4
O00152,2024-12-05,C0158,P004,S01,1,15,15,312.8,155.6
O00153,2022-11-01,C0235,P002,S02,3,0,15,690,330
O00154,2020-04-13,C0145,P004,S05,4,10,15,1324.8,641.6
O00155,2023-01-04,C0005,P001,S04,2,10,15,269.1,132.2
O00156,2024-01-29,C0188,P004,S03,1,15,15,312.8,155.6
O00157,2020-04-14,C0292,P005,S02,3,20,15,303.6,160.2
O00158,2021-08-14,C0038,P004,S05,4,20,15,1177.6,603.2
O00159,2021-07-26,C0061,P002,S01,4,10,15,828,416
O00160,2024-06-15,C0174,P005,S03,2,5,15,240.35,116.7
O00161,2023-05-18,C0261,P004,S05,1,0,15,368,170
O00162,2020-03-20,C0071,P006,S03,4,20,15,956.8,497.6
O00163,2022-07-24,C0077,P005,S05,2,10,15,227.7,113.4
O00164,2025-03-22,C0164,P002,S04,3,20,15,552,294
O00165,2021-11-19,C0260,P005,S05,4,20,15,404.8,213.6
O00166,2021-09-05,C0244,P001,S03,3,0,15,448.5,210
O00167,2022-05-03,C0299,P003,S01,4,10,15,1035,530
O00168,2025-06-03,C0297,P005,S02,1,20,15,101.2,53.4
O00169,2022-09-10,C0088,P005,S05,4,5,15,480.7,233.4
O00170,2024-08-09,C0125,P001,S05,1,5,15,142.03,68.05
O00171,2020-02-08,C0226,P003,S04,2,15,15,488.75,257.5
O00172,2023-11-15,C0105,P004,S05,4,0,15,1472,680
O00173,2023-12-16,C0071,P005,S02,3,15,15,322.57,165.15
O00174,2022-12-12,C0193,P003,S02,4,20,15,920,500
O00175,2021-12-02,C0280,P003,S03,4,5,15,1092.5,545
O00176,2025-05-14,C0127,P003,S05,3,5,15,819.38,408.75
O00177,2025-04-12,C0153,P003,S02,4,10,15,1035,530
O00178,2022-09-09,C0179,P005,S03,3,0,15,379.5,180
O00179,2023-03-20,C0279,P004,S04,3,5,15,1048.8,495.6
O00180,2021-08-17,C0022,P003,S01,3,15,15,733.12,386.25
O00181,2023-09-05,C0132,P006,S04,2,5,15,568.1,272.2
O00182,2024-08-22,C0276,P003,S05,3,5,15,819.38,408.75
O00183,2020-08-11,C0123,P002,S01,2,5,15,437,214
O00184,2020-04-17,C0052,P004,S03,4,0,15,1472,680
O00185,2023-10-27,C0071,P001,S05,2,15,15,254.15,128.3
O00186,2023-08-30,C0244,P004,S02,3,10,15,993.6,481.2
O00187,2021-08-07,C0031,P001,S05,2,20,15,239.2,124.4
O00188,2024-02-21,C0020,P002,S04,2,0,15,460,220
O00189,2024-09-08,C0204,P004,S02,3,0,15,1104,510
O00190,2020-01-19,C0153,P005,S05,1,10,15,113.85,56.7
O00191,2021-08-05,C0233,P006,S05,4,5,15,1136.2,544.4
O00192,2024-10-08,C0259,P004,S03,2,0,15,736,340
O00193,2021-11-08,C0084,P006,S04,3,5,15,852.15,408.3
O00194,2020-01-29,C0173,P003,S05,2,5,15,546.25,272.5
O00195,2023-06-05,C0208,P004,S05,3,0,15,1104,510
O00196,2022-03-31,C0049,P002,S02,4,10,15,828,416
O00197,2025-03-31,C0128,P001,S03,4,5,15,568.1,272.2
O00198,2022-07-03,C0137,P003,S03,1,10,15,258.75,132.5
O00199,2023-08-31,C0185,P006,S02,1,0,15,299,140
O00200,2022-08-11,C0158,P002,S04,3,0,15,690,330
O00201,2023-08-01,C0152,P003,S05,2,5,15,546.25,272.5
O00202,2025-05-14,C0069,P004,S02,4,20,15,1177.6,603.2
O00203,2022-02-04,C0213,P006,S05,4,20,15,956.8,497.6
O00204,2024-06-30,C0112,P002,S05,1,20,15,184,98
O00205,2022-07-03,C0271,P006,S03,1,20,15,239.2,124.4
O00206,2020-08-17,C0032,P005,S05,2,20,15,202.4,106.8
O00207,2023-01-04,C0077,P002,S03,4,0,15,920,440
O00208,2023-10-25,C0106,P006,S05,4,0,15,1196,560
O00209,2025-01-14,C0262,P004,S01,4,5,15,1398.4,660.8
O00210,2022-11-17,C0213,P004,S05,1,20,15,294.4,150.8
O00211,2022-08-04,C0158,P006,S01,4,10,15,1076.4,528.8
O00212,2024-07-30,C0002,P006,S02,1,0,15,299,140
O00213,2022-05-17,C0177,P006,S01,1,0,15,299,140
O00214,2025-03-27,C0242,P001,S03,4,5,15,568.1,272.2
O00215,2024-04-23,C0070,P006,S04,3,15,15,762.45,384.9
O00216,2022-07-07,C0194,P004,S01,2,10,15,662.4,320.8
O00217,2020-08-30,C0092,P005,S04,2,5,15,240.35,116.7
O00218,2024-09-05,C0002,P001,S03,4,20,15,478.4,248.8
O00219,2022-05-18,C0273,P004,S02,2,15,15,625.6,311.2
O00220,2021-12-09,C0080,P003,S02,1,0,15,287.5,140
O00221,2024-07-15,C0215,P005,S01,2,5,15,240.35,116.7
O00222,2020-05-17,C0052,P005,S01,4,20,15,404.8,213.6
O00223,2023-10-08,C0025,P002,S01,4,15,15,782,404
O00224,2021-04-24,C0277,P002,S01,2,20,15,368,196
O00225,2021-08-15,C0120,P006,S05,3,20,15,717.6,373.2
O00226,2023-05-09,C0165,P002,S03,2,20,15,368,196
O00227,2021-03-28,C0212,P003,S03,1,20,15,230,125
O00228,2025-04-26,C0090,P006,S04,4,0,15,1196,560
O00229,2025-06-14,C0177,P006,S04,3,15,15,762.45,384.9
O00230,2022-04-16,C0077,P003,S04,2,20,15,460,250
O00231,2022-08-27,C0124,P002,S03,2,15,15,391,202
O00232,2025-02-16,C0030,P005,S04,4,20,15,404.8,213.6
O00233,2022-12-21,C0069,P004,S02,3,5,15,1048.8,495.6
O00234,2021-11-07,C0041,P004,S03,1,20,15,294.4,150.8
O00235,2024-01-23,C0098,P001,S03,4,20,15,478.4,248.8
O00236,2023-05-19,C0021,P001,S02,2,15,15,254.15,128.3
O00237,2021-03-03,C0171,P003,S01,2,5,15,546.25,272.5
O00238,2025-05-24,C0061,P006,S04,2,20,15,478.4,248.8
O00239,2023-12-12,C0105,P004,S02,3,10,15,993.6,481.2
O00240,2022-02-18,C0239,P005,S03,3,10,15,341.55,170.1
O00241,2022-01-06,C0263,P004,S04,1,15,15,312.8,155.6
O00242,2024-04-08,C0164,P002,S03,3,15,15,586.5,303
O00243,2020-04-03,C0289,P002,S02,1,10,15,207,104
O00244,2023-02-07,C0300,P005,S04,3,5,15,360.52,175.05
O00245,2021-02-05,C0169,P002,S04,2,15,15,391,202
O00246,2023-02-01,C0173,P003,S04,4,15,15,977.5,515
O00247,2020-12-10,C0181,P002,S02,4,5,15,874,428
O00248,2025-02-20,C0278,P006,S01,1,0,15,299,140
O00249,2025-04-19,C0025,P001,S04,2,5,15,284.05,136.1
O00250,2020-05-19,C0078,P001,S02,4,10,15,538.2,264.4
O00251,2020-05-03,C0248,P006,S04,1,0,15,299,140
O00252,2022-12-25,C0283,P004,S01,1,20,15,294.4,150.8
O00253,2024-01-19,C0141,P005,S03,1,20,15,101.2,53.4
O00254,2024-07-23,C0221,P002,S01,1,20,15,184,98
O00255,2020-10-31,C0124,P002,S05,3,10,15,621,312
O00256,2021-07-01,C0204,P001,S03,4,15,15,508.3,256.6
O00257,2023-03-03,C0125,P006,S02,3,0,15,897,420
O00258,2023-08-31,C0017,P001,S04,4,15,15,508.3,256.6
O00259,2023-02-05,C0244,P001,S01,2,0,15,299,140
O00260,2022-10-20,C0223,P006,S03,1,20,15,239.2,124.4
O00261,2025-02-25,C0022,P002,S02,4,10,15,828,416
O00262,2020-04-05,C0039,P006,S03,1,5,15,284.05,136.1
O00263,2025-03-17,C0162,P001,S02,2,15,15,254.15,128.3
O00264,2025-03-17,C0040,P003,S02,2,20,15,460,250
O00265,2024-09-05,C0200,P006,S05,3,15,15,762.45,384.9
O00266,2024-03-27,C0072,P006,S01,3,0,15,897,420
O00267,2020-07-19,C0224,P002,S01,3,20,15,552,294
O00268,2024-04-23,C0204,P003,S01,3,15,15,733.12,386.25
O00269,2022-10-01,C0117,P003,S05,4,15,15,977.5,515
O00270,2021-01-15,C0300,P006,S04,1,20,15,239.2,124.4
O00271,2021-08-27,C0127,P006,S01,1,10,15,269.1,132.2
O00272,2020-11-11,C0195,P006,S02,4,10,15,1076.4,528.8
O00273,2022-01-08,C0055,P001,S01,3,15,15,381.23,192.45
O00274,2022-01-07,C0139,P001,S02,1,5,15,142.03,68.05
O00275,2022-06-01,C0230,P005,S05,4,0,15,506,240
O00276,2020-02-23,C0046,P003,S05,1,20,15,230,125
O00277,2023-05-09,C0167,P004,S01,3,15,15,938.4,466.8
O00278,2022-03-05,C0044,P006,S05,2,20,15,478.4,248.8
O00279,2022-12-03,C0087,P006,S04,2,5,15,568.1,272.2
O00280,2021-07-04,C0155,P003,S04,2,0,15,575,280
O00281,2020-12-08,C0223,P003,S04,3,15,15,733.12,386.25
O00282,2024-05-21,C0040,P003,S03,2,15,15,488.75,257.5
O00283,2023-05-01,C0101,P004,S01,2,10,15,662.4,320.8
O00284,2020-01-14,C0203,P003,S05,4,10,15,1035,530
O00285,2022-06-20,C0172,P004,S05,2,10,15,662.4,320.8
O00286,2021-10-18,C0103,P004,S03,2,15,15,625.6,311.2
O00287,2025-06-06,C0164,P003,S04,2,10,15,517.5,265
O00288,2022-02-09,C0144,P004,S03,1,20,15,294.4,150.8
O00289,2021-02-13,C0280,P002,S05,1,15,15,195.5,101
O00290,2025-04-15,C0108,P004,S03,1,15,15,312.8,155.6
O00291,2023-10-10,C0256,P002,S03,2,10,15,414,208
O00292,2023-09-10,C0079,P006,S04,4,0,15,1196,560
O00293,2022-07-08,C0246,P005,S04,4,20,15,404.8,213.6
O00294,2020-03-16,C0185,P006,S05,1,0,15,299,140
O00295,2024-04-23,C0128,P006,S03,2,20,15,478.4,248.8
O00296,2020-03-31,C0289,P006,S04,3,15,15,762.45,384.9
O00297,2020-08-04,C0006,P001,S03,2,20,15,239.2,124.4
O00298,2024-03-09,C0266,P005,S05,2,15,15,215.05,110.1
O00299,2022-02-05,C0201,P004,S05,2,10,15,662.4,320.8
O00300,2020-02-20,C0248,P001,S03,4,0,15,598,280
O00301,2020-08-25,C0073,P003,S03,3,15,15,733.12,386.25
O00302,2024-05-25,C0106,P005,S04,3,15,15,322.57,165.15
O00303,2020-07-18,C0225,P006,S04,3,0,15,897,420
O00304,2021-09-06,C0023,P006,S01,1,10,15,269.1,132.2
O00305,2023-08-20,C0056,P006,S02,2,20,15,478.4,248.8
O00306,2020-12-23,C0283,P002,S03,4,15,15,782,404
O00307,2021-04-19,C0208,P006,S02,2,15,15,508.3,256.6
O00308,2022-03-21,C0015,P006,S05,2,15,15,508.3,256.6
O00309,2023-04-27,C0220,P004,S01,2,5,15,699.2,330.4
O00310,2021-07-24,C0033,P005,S01,2,10,15,227.7,113.4
O00311,2021-10-29,C0101,P004,S01,3,15,15,938.4,466.8
O00312,2022-12-16,C0161,P005,S04,4,20,15,404.8,213.6
O00313,2020-08-21,C0179,P003,S04,2,10,15,517.5,265
O00314,2025-02-24,C0044,P006,S02,3,0,15,897,420
O00315,2021-05-03,C0157,P001,S02,3,5,15,426.07,204.15
O00316,2022-11-12,C0199,P004,S05,2,20,15,588.8,301.6
O00317,2022-02-24,C0217,P002,S04,2,20,15,368,196
O00318,2020-12-07,C0251,P003,S02,2,10,15,517.5,265
O00319,2024-09-20,C0231,P005,S01,3,0,15,379.5,180
O00320,2022-09-19,C0070,P002,S04,4,15,15,782,404
O00321,2023-11-03,C0252,P004,S04,4,5,15,1398.4,660.8
O00322,2020-06-18,C0290,P001,S02,3,0,15,448.5,210
O00323,2021-07-16,C0116,P005,S03,2,15,15,215.05,110.1
O00324,2023-03-04,C0254,P005,S05,1,20,15,101.2,53.4
O00325,2020-08-21,C0138,P005,S03,1,15,15,107.53,55.05
O00326,2023-01-23,C0112,P004,S01,2,10,15,662.4,320.8
O00327,2024-11-26,C0017,P004,S03,3,0,15,1104,510
O00328,2022-06-18,C0061,P002,S02,3,20,15,552,294
O00329,2023-07-19,C0220,P002,S05,2,5,15,437,214
O00330,2024-07-24,C0106,P001,S05,3,20,15,358.8,186.6
O00331,2021-07-29,C0276,P002,S03,3,10,15,621,312
O00332,2023-03-18,C0137,P005,S01,2,15,15,215.05,110.1
O00333,2025-02-24,C0031,P003,S02,2,5,15,546.25,272.5
O00334,2020-10-26,C0165,P002,S04,4,5,15,874,428
O00335,2023-03-28,C0138,P006,S04,4,15,15,1016.6,513.2
O00336,2020-06-03,C0048,P004,S05,3,10,15,993.6,481.2
O00337,2022-07-20,C0250,P003,S05,1,0,15,287.5,140
O00338,2024-02-05,C0235,P006,S03,1,20,15,239.2,124.4
O00339,2022-03-25,C0112,P004,S02,4,10,15,1324.8,641.6
O00340,2021-10-23,C0146,P003,S05,2,20,15,460,250
O00341,2024-10-11,C0249,P003,S01,1,0,15,287.5,140
O00342,2023-07-06,C0236,P001,S01,2,15,15,254.15,128.3
O00343,2022-07-23,C0001,P004,S02,2,10,15,662.4,320.8
O00344,2020-11-21,C0141,P001,S03,3,0,15,448.5,210
O00345,2022-01-31,C0085,P001,S04,3,5,15,426.07,204.15
O00346,2022-05-29,C0047,P006,S01,1,5,15,284.05,136.1
O00347,2022-09-03,C0040,P002,S05,2,20,15,368,196
O00348,2023-10-24,C0228,P001,S01,3,0,15,448.5,210
O00349,2024-10-27,C0217,P006,S02,4,0,15,1196,560
O00350,2021-04-13,C0197,P001,S01,1,10,15,134.55,66.1
O00351,2022-01-22,C0154,P002,S04,2,5,15,437,214
O00352,2020-05-20,C0272,P005,S01,2,15,15,215.05,110.1
O00353,2021-12-20,C0110,P006,S02,4,20,15,956.8,497.6
O00354,2023-11-07,C0227,P002,S01,1,5,15,218.5,107
O00355,2024-03-21,C0064,P005,S04,3,15,15,322.57,165.15
O00356,2021-10-06,C0072,P002,S03,1,5,15,218.5,107
O00357,2023-02-07,C0146,P006,S01,3,5,15,852.15,408.3
O00358,2022-11-26,C0261,P002,S04,3,0,15,690,330
O00359,2024-05-24,C0123,P004,S04,1,5,15,349.6,165.2
O00360,2022-10-20,C0037,P005,S01,3,10,15,341.55,170.1
O00361,2020-09-27,C0199,P005,S04,3,20,15,303.6,160.2
O00362,2023-10-30,C0089,P004,S01,1,20,15,294.4,150.8
O00363,2020-05-18,C0008,P003,S02,1,0,15,287.5,140
O00364,2025-04-26,C0204,P005,S03,4,15,15,430.1,220.2
O00365,2023-12-08,C0206,P001,S05,2,10,15,269.1,132.2
O00366,2020-06-20,C0159,P001,S05,2,5,15,284.05,136.1
O00367,2023-01-03,C0168,P004,S05,1,10,15,331.2,160.4
O00368,2023-12-01,C0224,P006,S02,1,5,15,284.05,136.1
O00369,2020-06-25,C0223,P001,S04,1,10,15,134.55,66.1
O00370,2023-09-26,C0090,P001,S01,2,0,15,299,140
O00371,2020-12-01,C0255,P003,S05,3,5,15,819.38,408.75
O00372,2022-01-31,C0065,P006,S03,1,0,15,299,140
O00373,2021-11-17,C0220,P003,S05,1,10,15,258.75,132.5
O00374,2023-12-29,C0296,P006,S01,4,15,15,1016.6,513.2
O00375,2022-11-12,C0185,P001,S04,2,10,15,269.1,132.2
O00376,2020-11-18,C0131,P001,S05,1,5,15,142.03,68.05
O00377,2024-02-26,C0261,P001,S01,1,5,15,142.03,68.05
O00378,2020-04-04,C0242,P003,S04,2,5,15,546.25,272.5
O00379,2025-03-22,C0019,P005,S04,2,10,15,227.7,113.4
O00380,2021-05-23,C0214,P006,S03,3,0,15,897,420
O00381,2023-03-16,C0191,P001,S05,1,5,15,142.03,68.05
O00382,2021-04-02,C0265,P001,S04,1,15,15,127.08,64.15
O00383,2024-11-08,C0145,P003,S03,1,20,15,230,125
O00384,2022-07-24,C0005,P003,S02,3,20,15,690,375
O00385,2024-05-25,C0156,P006,S05,2,15,15,508.3,256.6
O00386,2022-01-24,C0253,P002,S05,2,5,15,437,214
O00387,2020-01-14,C0210,P001,S02,3,0,15,448.5,210
O00388,2025-05-01,C0172,P001,S04,3,0,15,448.5,210
O00389,2021-02-24,C0272,P002,S04,4,0,15,920,440
O00390,2025-06-14,C0073,P006,S03,1,0,15,299,140
O00391,2025-03-01,C0119,P005,S04,3,15,15,322.57,165.15
O00392,2025-06-18,C0044,P005,S01,2,15,15,215.05,110.1
O00393,2020-06-02,C0291,P001,S04,2,5,15,284.05,136.1
O00394,2021-08-20,C0134,P003,S04,3,10,15,776.25,397.5
O00395,2022-07-16,C0140,P002,S01,2,5,15,437,214
O00396,2024-05-16,C0300,P001,S02,1,5,15,142.03,68.05
O00397,2022-07-09,C0239,P003,S04,1,20,15,230,125
O00398,2022-01-03,C0107,P004,S03,4,10,15,1324.8,641.6
O00399,2024-10-11,C0062,P001,S02,3,20,15,358.8,186.6
O00400,2020-03-23,C0111,P003,S02,1,5,15,273.12,136.25
O00401,2025-06-06,C0183,P004,S05,1,10,15,331.2,160.4
O00402,2021-06-16,C0090,P001,S04,4,20,15,478.4,248.8
O00403,2024-03-12,C0282,P002,S01,4,0,15,920,440
O00404,2024-07-04,C0072,P001,S01,1,5,15,142.03,68.05
O00405,2020-09-24,C0102,P004,S03,1,20,15,294.4,150.8
O00406,2023-04-15,C0133,P001,S01,1,5,15,142.03,68.05
O00407,2025-01-22,C0228,P002,S01,3,0,15,690,330
O00408,2020-03-28,C0237,P001,S02,4,15,15,508.3,256.6
O00409,2022-10-13,C0016,P004,S04,2,10,15,662.4,320.8
O00410,2021-03-15,C0096,P003,S03,4,5,15,1092.5,545
O00411,2020-03-11,C0126,P006,S03,4,15,15,1016.6,513.2
O00412,2024-12-12,C0282,P004,S01,1,10,15,331.2,160.4
